Categoría: Todas las categorías

Mes,cough: (Todo el mundo)
2004-01,15
2004-02,14
2004-03,14
2004-04,13
2004-05,12
2004-06,12
2004-07,13
2004-08,13
2004-09,14
2004-10,17
2004-11,18
2004-12,19
2005-01,19
2005-02,21
2005-03,19
2005-04,16
2005-05,16
2005-06,13
2005-07,13
2005-08,14
2005-09,14
2005-10,15
2005-11,16
2005-12,18
2006-01,18
2006-02,17
2006-03,17
2006-04,14
2006-05,13
2006-06,13
2006-07,12
2006-08,12
2006-09,13
2006-10,14
2006-11,16
2006-12,16
2007-01,16
2007-02,16
2007-03,15
2007-04,13
2007-05,12
2007-06,11
2007-07,11
2007-08,10
2007-09,13
2007-10,17
2007-11,17
2007-12,18
2008-01,20
2008-02,20
2008-03,17
2008-04,15
2008-05,14
2008-06,12
2008-07,11
2008-08,12
2008-09,14
2008-10,16
2008-11,18
2008-12,20
2009-01,18
2009-02,19
2009-03,18
2009-04,17
2009-05,15
2009-06,14
2009-07,14
2009-08,14
2009-09,17
2009-10,22
2009-11,23
2009-12,21
2010-01,18
2010-02,19
2010-03,19
2010-04,16
2010-05,15
2010-06,16
2010-07,17
2010-08,17
2010-09,21
2010-10,23
2010-11,25
2010-12,27
2011-01,28
2011-02,29
2011-03,24
2011-04,22
2011-05,19
2011-06,18
2011-07,17
2011-08,18
2011-09,22
2011-10,25
2011-11,28
2011-12,28
2012-01,28
2012-02,32
2012-03,29
2012-04,29
2012-05,27
2012-06,24
2012-07,24
2012-08,25
2012-09,29
2012-10,31
2012-11,33
2012-12,40
2013-01,38
2013-02,35
2013-03,30
2013-04,25
2013-05,24
2013-06,22
2013-07,22
2013-08,21
2013-09,27
2013-10,29
2013-11,31
2013-12,35
2014-01,37
2014-02,33
2014-03,30
2014-04,29
2014-05,27
2014-06,25
2014-07,23
2014-08,24
2014-09,28
2014-10,30
2014-11,33
2014-12,42
2015-01,42
2015-02,39
2015-03,36
2015-04,32
2015-05,28
2015-06,27
2015-07,25
2015-08,25
2015-09,29
2015-10,35
2015-11,38
2015-12,44
2016-01,42
2016-02,43
2016-03,39
2016-04,34
2016-05,31
2016-06,27
2016-07,27
2016-08,27
2016-09,35
2016-10,36
2016-11,41
2016-12,45
2017-01,45
2017-02,45
2017-03,39
2017-04,35
2017-05,33
2017-06,31
2017-07,30
2017-08,32
2017-09,36
2017-10,41
2017-11,44
2017-12,57
2018-01,58
2018-02,49
2018-03,44
2018-04,35
2018-05,34
2018-06,31
2018-07,29
2018-08,31
2018-09,40
2018-10,40
2018-11,46
2018-12,55
2019-01,53
2019-02,52
2019-03,48
2019-04,44
2019-05,36
2019-06,34
2019-07,33
2019-08,37
2019-09,41
2019-10,47
2019-11,52
2019-12,60
2020-01,62
2020-02,59
2020-03,100
2020-04,51
2020-05,30
2020-06,29
2020-07,34
2020-08,31
2020-09,36
2020-10,37
2020-11,38
2020-12,39
2021-01,34
2021-02,31
2021-03,34
2021-04,45
2021-05,43
2021-06,40
2021-07,48
2021-08,52
2021-09,56
2021-10,60
2021-11,59
2021-12,66
2022-01,74
2022-02,44
2022-03,46
2022-04,50
2022-05,53
2022-06,54
2022-07,55
2022-08,53
2022-09,56
2022-10,74
2022-11,78
2022-12,87
2023-01,66
2023-02,66
2023-03,58
2023-04,48
2023-05,45
2023-06,41
2023-07,41
2023-08,44
2023-09,52
2023-10,61
2023-11,64
